Invoice_ID,City,Customer_type,Gender,Product_line,Quantity,Date
199-75-8169,Yangon,Member,Male,Sports and travel,10,03/06/2019
280-35-5823,Mandalay,Member,Female,Home and lifestyle,1,1/17/2019
877-22-3308,Yangon,Member,Male,Health and beauty,10,3/13/2019
838-78-4295,Naypyitaw,Normal,Female,Health and beauty,2,02/10/2019
501-61-1753,Mandalay,Normal,Female,Home and lifestyle,6,01/03/2019
232-11-3025,Yangon,Normal,Male,Sports and travel,10,1/24/2019
382-03-4532,Yangon,Member,Female,Health and beauty,1,02/02/2019
393-65-2792,Naypyitaw,Normal,Male,Food and beverages,10,01/06/2019
796-12-2025,Naypyitaw,Normal,Male,Fashion accessories,10,02/11/2019
503-21-4385,Mandalay,Member,Male,Health and beauty,3,2/21/2019
841-35-6630,Naypyitaw,Normal,Female,Electronic accessories,6,03/09/2019
287-21-9091,Yangon,Normal,Male,Home and lifestyle,9,1/22/2019
732-94-0499,Naypyitaw,Normal,Female,Electronic accessories,10,1/13/2019
263-10-3913,Naypyitaw,Member,Male,Fashion accessories,9,01/09/2019
381-20-0914,Yangon,Member,Female,Fashion accessories,9,01/12/2019
829-49-1914,Naypyitaw,Member,Female,Food and beverages,10,03/05/2019
756-01-7507,Naypyitaw,Normal,Female,Health and beauty,5,1/22/2019
870-72-4431,Naypyitaw,Normal,Female,Health and beauty,6,1/21/2019
895-66-0685,Mandalay,Member,Male,Food and beverages,3,03/05/2019
480-63-2856,Naypyitaw,Normal,Male,Food and beverages,8,1/23/2019
787-56-0757,Naypyitaw,Member,Female,Food and beverages,4,2/23/2019
360-39-5055,Naypyitaw,Member,Male,Sports and travel,5,03/09/2019
730-50-9884,Naypyitaw,Normal,Female,Sports and travel,7,03/05/2019
362-58-8315,Naypyitaw,Normal,Male,Fashion accessories,5,3/25/2019
633-44-8566,Yangon,Member,Male,Food and beverages,7,3/27/2019
504-35-8843,Yangon,Normal,Male,Sports and travel,1,01/02/2019
616-24-2851,Mandalay,Member,Female,Fashion accessories,4,3/22/2019
565-80-5980,Naypyitaw,Member,Female,Home and lifestyle,4,1/23/2019
225-32-0908,Naypyitaw,Normal,Female,Sports and travel,10,1/26/2019
873-51-0671,Yangon,Member,Female,Sports and travel,7,01/10/2019
299-46-1805,Mandalay,Member,Female,Sports and travel,6,1/15/2019
512-91-0811,Naypyitaw,Normal,Male,Health and beauty,1,02/06/2019
594-34-4444,Yangon,Normal,Male,Electronic accessories,1,03/08/2019
510-95-6347,Mandalay,Member,Female,Food and beverages,3,03/05/2019
871-39-9221,Naypyitaw,Normal,Female,Electronic accessories,6,02/09/2019
865-92-6136,Yangon,Normal,Male,Food and beverages,3,3/23/2019
665-63-9737,Mandalay,Normal,Male,Fashion accessories,3,2/27/2019
163-56-7055,Naypyitaw,Member,Male,Fashion accessories,1,3/26/2019
189-98-2939,Naypyitaw,Normal,Male,Fashion accessories,9,03/01/2019
551-21-3069,Naypyitaw,Normal,Female,Electronic accessories,9,02/01/2019
212-62-1842,Yangon,Normal,Male,Food and beverages,6,3/28/2019
789-23-8625,Mandalay,Member,Male,Fashion accessories,3,1/24/2019
704-48-3927,Yangon,Member,Male,Electronic accessories,10,01/12/2019
628-34-3388,Naypyitaw,Normal,Male,Fashion accessories,6,01/05/2019
630-74-5166,Yangon,Normal,Male,Sports and travel,6,3/22/2019
588-01-7461,Naypyitaw,Normal,Female,Food and beverages,9,3/24/2019
861-77-0145,Naypyitaw,Member,Male,Electronic accessories,10,03/03/2019
296-11-7041,Mandalay,Member,Female,Health and beauty,1,01/12/2019
210-67-5886,Naypyitaw,Member,Female,Health and beauty,3,02/05/2019
692-27-8933,Mandalay,Normal,Female,Sports and travel,6,2/24/2019
645-44-1170,Yangon,Member,Male,Home and lifestyle,9,1/19/2019
237-01-6122,Naypyitaw,Member,Female,Home and lifestyle,9,02/01/2019
225-98-1496,Naypyitaw,Normal,Female,Fashion accessories,3,03/02/2019
725-67-2480,Mandalay,Member,Female,Fashion accessories,6,3/24/2019
197-77-7132,Mandalay,Member,Male,Electronic accessories,8,01/12/2019
642-32-2990,Yangon,Normal,Female,Food and beverages,10,02/02/2019
574-31-8277,Mandalay,Member,Male,Fashion accessories,1,3/20/2019
638-60-7125,Yangon,Normal,Female,Electronic accessories,8,2/14/2019
659-36-1684,Naypyitaw,Member,Male,Sports and travel,7,01/12/2019
198-84-7132,Mandalay,Member,Male,Fashion accessories,9,01/02/2019
336-78-2147,Naypyitaw,Member,Male,Home and lifestyle,8,3/13/2019
305-89-2768,Mandalay,Member,Female,Home and lifestyle,3,01/09/2019
668-90-8900,Yangon,Normal,Female,Home and lifestyle,7,03/10/2019
870-54-3162,Yangon,Normal,Female,Sports and travel,5,1/27/2019
189-08-9157,Naypyitaw,Normal,Female,Fashion accessories,9,01/08/2019
663-86-9076,Naypyitaw,Member,Female,Food and beverages,8,01/08/2019
596-42-3999,Mandalay,Normal,Male,Food and beverages,7,03/10/2019
511-54-3087,Mandalay,Normal,Male,Sports and travel,1,2/25/2019
802-70-5316,Yangon,Member,Female,Sports and travel,6,03/06/2019
201-86-2184,Mandalay,Member,Female,Electronic accessories,7,02/02/2019
156-20-0370,Mandalay,Normal,Female,Electronic accessories,1,03/10/2019
483-71-1164,Naypyitaw,Normal,Female,Health and beauty,6,03/08/2019
597-78-7908,Naypyitaw,Normal,Male,Fashion accessories,3,2/18/2019
700-81-1757,Yangon,Normal,Female,Electronic accessories,5,1/18/2019
354-39-5160,Yangon,Member,Female,Home and lifestyle,6,2/18/2019
361-59-0574,Mandalay,Member,Male,Sports and travel,8,3/15/2019
575-30-8091,Yangon,Normal,Male,Sports and travel,8,3/16/2019
731-81-9469,Naypyitaw,Member,Female,Sports and travel,10,1/23/2019
280-17-4359,Naypyitaw,Member,Male,Health and beauty,10,1/25/2019
338-65-2210,Naypyitaw,Member,Female,Health and beauty,10,02/05/2019
488-25-4221,Naypyitaw,Member,Female,Food and beverages,1,2/22/2019
239-10-7476,Yangon,Normal,Female,Home and lifestyle,6,1/21/2019
458-41-1477,Naypyitaw,Normal,Female,Health and beauty,6,03/08/2019
685-64-1609,Yangon,Member,Female,Fashion accessories,10,02/10/2019
568-90-5112,Naypyitaw,Normal,Male,Health and beauty,4,3/19/2019
549-84-7482,Mandalay,Normal,Female,Sports and travel,9,02/08/2019
238-49-0436,Yangon,Normal,Male,Health and beauty,8,3/27/2019
366-43-6862,Mandalay,Normal,Male,Electronic accessories,4,3/25/2019
584-86-7256,Naypyitaw,Member,Male,Sports and travel,7,03/11/2019
746-94-0204,Yangon,Normal,Male,Fashion accessories,9,1/29/2019
214-17-6927,Naypyitaw,Normal,Female,Food and beverages,6,02/07/2019
400-89-4171,Naypyitaw,Normal,Female,Sports and travel,8,1/28/2019
782-95-9291,Yangon,Member,Male,Food and beverages,5,2/20/2019
628-90-8624,Mandalay,Member,Male,Health and beauty,10,3/14/2019
418-05-0656,Mandalay,Normal,Female,Fashion accessories,7,02/02/2019
642-61-4706,Mandalay,Member,Male,Food and beverages,2,3/30/2019
852-62-7105,Mandalay,Normal,Female,Fashion accessories,10,01/12/2019
894-41-5205,Naypyitaw,Normal,Female,Food and beverages,8,1/19/2019
275-28-0149,Yangon,Normal,Male,Sports and travel,1,2/25/2019
101-17-6199,Yangon,Normal,Male,Food and beverages,7,3/13/2019
423-80-0988,Naypyitaw,Normal,Male,Sports and travel,2,1/30/2019
544-55-9589,Mandalay,Member,Female,Electronic accessories,10,1/28/2019
640-48-5028,Mandalay,Member,Female,Home and lifestyle,9,03/02/2019
234-65-2137,Naypyitaw,Normal,Male,Home and lifestyle,10,1/16/2019
687-47-8271,Yangon,Normal,Male,Fashion accessories,10,02/08/2019
796-32-9050,Yangon,Normal,Male,Food and beverages,6,1/19/2019
105-31-1824,Yangon,Member,Male,Sports and travel,7,02/01/2019
249-42-3782,Yangon,Normal,Male,Health and beauty,5,01/03/2019
388-76-2555,Mandalay,Normal,Male,Sports and travel,6,2/13/2019
733-33-4967,Naypyitaw,Normal,Male,Electronic accessories,8,03/03/2019
732-04-5373,Mandalay,Member,Male,Home and lifestyle,4,02/08/2019
746-04-1077,Mandalay,Member,Female,Food and beverages,10,01/01/2019
827-26-2100,Yangon,Member,Male,Home and lifestyle,9,3/21/2019
175-54-2529,Yangon,Member,Male,Food and beverages,8,03/03/2019
139-52-2867,Naypyitaw,Normal,Female,Fashion accessories,7,2/13/2019
407-63-8975,Yangon,Normal,Male,Food and beverages,6,3/23/2019
342-65-4817,Naypyitaw,Member,Male,Health and beauty,3,1/28/2019
130-98-8941,Naypyitaw,Normal,Male,Fashion accessories,7,02/09/2019
434-83-9547,Naypyitaw,Member,Male,Food and beverages,8,1/23/2019
851-28-6367,Yangon,Member,Male,Sports and travel,10,3/23/2019
824-88-3614,Naypyitaw,Normal,Male,Health and beauty,8,1/25/2019
586-25-0848,Yangon,Normal,Female,Sports and travel,7,03/04/2019
695-51-0018,Mandalay,Normal,Female,Sports and travel,4,02/10/2019
767-97-4650,Mandalay,Member,Female,Sports and travel,2,01/08/2019
565-91-4567,Mandalay,Normal,Male,Health and beauty,8,3/15/2019
400-60-7251,Yangon,Normal,Male,Home and lifestyle,1,02/10/2019
593-65-1552,Naypyitaw,Normal,Female,Home and lifestyle,4,1/28/2019
563-47-4072,Mandalay,Normal,Female,Health and beauty,6,1/22/2019
670-71-7306,Mandalay,Normal,Male,Sports and travel,6,01/02/2019
286-43-6208,Naypyitaw,Normal,Female,Food and beverages,9,3/16/2019
234-36-2483,Mandalay,Normal,Male,Health and beauty,6,2/15/2019
831-07-6050,Yangon,Normal,Male,Electronic accessories,5,3/19/2019
556-86-3144,Naypyitaw,Member,Female,Fashion accessories,1,1/13/2019
848-24-9445,Naypyitaw,Member,Male,Health and beauty,2,3/26/2019
856-22-8149,Yangon,Normal,Female,Home and lifestyle,1,3/23/2019
699-01-4164,Naypyitaw,Normal,Male,Health and beauty,4,03/12/2019
420-11-4919,Naypyitaw,Member,Female,Food and beverages,5,2/17/2019
606-80-4905,Naypyitaw,Member,Female,Sports and travel,6,1/29/2019
273-16-6619,Mandalay,Normal,Male,Home and lifestyle,2,3/15/2019
426-39-2418,Naypyitaw,Normal,Male,Electronic accessories,7,1/14/2019
423-57-2993,Mandalay,Normal,Male,Sports and travel,6,3/27/2019
655-85-5130,Mandalay,Member,Female,Fashion accessories,4,3/13/2019
749-24-1565,Yangon,Normal,Female,Health and beauty,9,01/03/2019
672-51-8681,Naypyitaw,Member,Female,Electronic accessories,9,01/04/2019
263-87-5680,Naypyitaw,Member,Female,Home and lifestyle,10,3/18/2019
744-09-5786,Mandalay,Normal,Male,Electronic accessories,6,01/02/2019
821-14-9046,Mandalay,Member,Female,Fashion accessories,6,1/18/2019
888-02-0338,Yangon,Normal,Male,Electronic accessories,9,1/25/2019
677-11-0152,Naypyitaw,Normal,Female,Food and beverages,9,1/16/2019
875-31-8302,Mandalay,Normal,Male,Sports and travel,1,01/03/2019
573-58-9734,Mandalay,Normal,Female,Fashion accessories,3,3/28/2019
605-83-1050,Mandalay,Normal,Male,Fashion accessories,2,3/15/2019
802-43-8934,Yangon,Normal,Male,Home and lifestyle,1,3/22/2019
339-38-9982,Mandalay,Member,Male,Fashion accessories,2,1/13/2019
319-74-2561,Yangon,Member,Female,Electronic accessories,3,2/21/2019
291-32-1427,Mandalay,Member,Male,Fashion accessories,5,03/05/2019
319-50-3348,Mandalay,Normal,Female,Home and lifestyle,2,03/11/2019
783-09-1637,Mandalay,Normal,Female,Sports and travel,5,03/06/2019
291-59-1384,Mandalay,Normal,Male,Electronic accessories,1,2/28/2019
389-25-3394,Naypyitaw,Normal,Male,Electronic accessories,5,2/17/2019
279-62-1445,Naypyitaw,Member,Female,Fashion accessories,1,2/21/2019
213-72-6612,Yangon,Normal,Male,Food and beverages,2,3/20/2019
746-68-6593,Naypyitaw,Member,Female,Sports and travel,2,01/11/2019
356-44-8813,Mandalay,Normal,Male,Home and lifestyle,3,1/20/2019
583-72-1480,Naypyitaw,Member,Male,Electronic accessories,4,1/31/2019
871-79-8483,Mandalay,Normal,Male,Fashion accessories,5,2/25/2019
721-86-6247,Yangon,Normal,Female,Home and lifestyle,8,03/11/2019
349-97-8902,Mandalay,Member,Male,Food and beverages,2,1/17/2019
498-41-1961,Mandalay,Normal,Male,Health and beauty,5,2/20/2019
554-53-3790,Mandalay,Normal,Male,Sports and travel,6,3/22/2019
470-31-3286,Mandalay,Normal,Male,Health and beauty,3,03/01/2019
157-13-5295,Yangon,Member,Male,Health and beauty,10,03/09/2019
645-78-8093,Yangon,Normal,Female,Sports and travel,2,1/20/2019
211-30-9270,Naypyitaw,Normal,Male,Health and beauty,5,1/28/2019
755-12-3214,Naypyitaw,Member,Female,Fashion accessories,5,03/05/2019
793-10-3222,Mandalay,Member,Female,Health and beauty,6,03/05/2019
478-06-7835,Yangon,Normal,Male,Fashion accessories,1,01/11/2019
540-11-4336,Yangon,Normal,Male,Food and beverages,9,01/11/2019
448-81-5016,Yangon,Normal,Male,Health and beauty,2,03/11/2019
142-72-4741,Naypyitaw,Member,Male,Fashion accessories,2,2/28/2019
217-58-1179,Yangon,Member,Male,Home and lifestyle,4,01/05/2019
286-62-6248,Mandalay,Normal,Male,Fashion accessories,4,1/16/2019
530-90-9855,Yangon,Member,Male,Home and lifestyle,8,01/01/2019
825-94-5922,Mandalay,Normal,Male,Sports and travel,2,03/02/2019
604-70-6476,Yangon,Member,Male,Fashion accessories,5,1/23/2019
799-71-1548,Yangon,Member,Male,Electronic accessories,4,01/07/2019
725-32-9708,Mandalay,Member,Female,Fashion accessories,4,01/04/2019
200-40-6154,Mandalay,Member,Male,Home and lifestyle,6,02/09/2019
662-47-5456,Naypyitaw,Member,Male,Fashion accessories,10,3/17/2019
883-17-4236,Naypyitaw,Normal,Female,Sports and travel,2,03/02/2019
290-68-2984,Yangon,Normal,Male,Home and lifestyle,4,3/16/2019
704-11-6354,Yangon,Member,Male,Home and lifestyle,8,01/06/2019
347-34-2234,Mandalay,Member,Female,Sports and travel,9,02/03/2019
366-93-0948,Yangon,Member,Male,Electronic accessories,1,1/31/2019
729-09-9681,Yangon,Member,Male,Home and lifestyle,6,02/05/2019
151-16-1484,Yangon,Member,Male,Electronic accessories,4,2/13/2019
380-94-4661,Naypyitaw,Member,Male,Electronic accessories,4,02/07/2019
850-41-9669,Yangon,Normal,Female,Electronic accessories,9,3/19/2019
821-07-3596,Naypyitaw,Normal,Female,Fashion accessories,4,03/07/2019
262-47-2794,Mandalay,Member,Male,Home and lifestyle,8,03/06/2019
447-15-7839,Yangon,Member,Female,Sports and travel,10,02/09/2019
394-43-4238,Mandalay,Member,Male,Home and lifestyle,5,2/15/2019
253-12-6086,Yangon,Member,Female,Sports and travel,7,03/12/2019
808-65-0703,Naypyitaw,Normal,Male,Home and lifestyle,4,3/14/2019
659-65-8956,Mandalay,Member,Male,Fashion accessories,1,1/16/2019
144-51-6085,Yangon,Member,Male,Home and lifestyle,4,01/05/2019
731-14-2199,Yangon,Member,Female,Home and lifestyle,10,01/04/2019
305-18-3552,Mandalay,Member,Male,Home and lifestyle,10,02/12/2019
687-15-1097,Naypyitaw,Member,Female,Health and beauty,2,01/03/2019
126-54-1082,Yangon,Member,Female,Home and lifestyle,9,01/07/2019
633-91-1052,Yangon,Normal,Female,Home and lifestyle,2,1/27/2019
219-22-9386,Mandalay,Member,Male,Sports and travel,9,03/09/2019
181-82-6255,Mandalay,Normal,Female,Home and lifestyle,6,02/08/2019
526-86-8552,Naypyitaw,Member,Female,Home and lifestyle,10,01/07/2019
376-56-3573,Naypyitaw,Normal,Female,Fashion accessories,4,02/02/2019
537-72-0426,Naypyitaw,Member,Male,Fashion accessories,10,3/20/2019
828-61-5674,Yangon,Member,Male,Sports and travel,10,3/20/2019
136-08-6195,Yangon,Normal,Female,Home and lifestyle,8,2/15/2019
523-38-0215,Naypyitaw,Normal,Male,Home and lifestyle,1,03/06/2019
490-29-1201,Yangon,Normal,Female,Sports and travel,1,01/06/2019
667-92-0055,Yangon,Member,Male,Health and beauty,6,03/04/2019
565-17-3836,Yangon,Member,Female,Health and beauty,4,03/12/2019
532-59-7201,Mandalay,Member,Male,Sports and travel,6,1/31/2019
593-95-4461,Naypyitaw,Member,Male,Home and lifestyle,1,3/24/2019
226-71-3580,Naypyitaw,Normal,Female,Sports and travel,9,1/31/2019
699-88-1972,Mandalay,Normal,Male,Health and beauty,8,1/28/2019
430-60-3493,Yangon,Member,Female,Home and lifestyle,7,02/03/2019
729-06-2010,Mandalay,Member,Male,Health and beauty,9,01/06/2019
558-80-4082,Naypyitaw,Normal,Male,Electronic accessories,7,3/14/2019
278-97-7759,Yangon,Member,Female,Electronic accessories,1,2/18/2019
316-68-6352,Yangon,Member,Female,Food and beverages,2,1/21/2019
794-42-3736,Mandalay,Normal,Male,Food and beverages,2,1/26/2019
211-05-0490,Naypyitaw,Member,Female,Electronic accessories,5,03/03/2019
727-75-6477,Naypyitaw,Normal,Male,Electronic accessories,4,3/29/2019
744-02-5987,Yangon,Member,Male,Home and lifestyle,6,01/10/2019
307-83-9164,Yangon,Member,Male,Home and lifestyle,4,1/25/2019
779-06-0012,Naypyitaw,Member,Female,Home and lifestyle,1,1/19/2019
446-47-6729,Naypyitaw,Normal,Male,Fashion accessories,2,01/02/2019
853-23-2453,Mandalay,Member,Male,Health and beauty,4,2/14/2019
735-06-4124,Naypyitaw,Normal,Male,Food and beverages,1,2/25/2019
439-54-7422,Yangon,Normal,Female,Electronic accessories,4,3/18/2019
539-21-7227,Mandalay,Normal,Female,Sports and travel,5,1/26/2019
411-77-0180,Yangon,Member,Male,Electronic accessories,7,3/26/2019
286-01-5402,Yangon,Normal,Female,Sports and travel,7,3/30/2019
803-17-8013,Yangon,Member,Female,Home and lifestyle,8,2/17/2019
512-98-1403,Yangon,Member,Female,Electronic accessories,3,3/21/2019
848-42-2560,Yangon,Normal,Female,Fashion accessories,2,03/05/2019
339-96-8318,Mandalay,Member,Male,Fashion accessories,7,03/01/2019
181-94-6432,Naypyitaw,Member,Male,Fashion accessories,2,02/05/2019
870-76-1733,Yangon,Member,Female,Food and beverages,5,02/01/2019
423-64-4619,Yangon,Member,Female,Health and beauty,9,03/07/2019
227-07-4446,Naypyitaw,Member,Female,Electronic accessories,10,02/10/2019
174-36-3675,Naypyitaw,Member,Male,Food and beverages,2,2/14/2019
428-83-5800,Naypyitaw,Member,Female,Food and beverages,3,02/09/2019
603-07-0961,Naypyitaw,Member,Male,Electronic accessories,5,01/10/2019
704-20-4138,Naypyitaw,Member,Female,Health and beauty,7,03/11/2019
787-15-1757,Naypyitaw,Member,Male,Health and beauty,4,2/18/2019
649-11-3678,Naypyitaw,Normal,Female,Food and beverages,9,2/26/2019
622-20-1945,Naypyitaw,Normal,Female,Health and beauty,1,1/18/2019
372-94-8041,Yangon,Normal,Male,Health and beauty,6,2/15/2019
563-91-7120,Yangon,Normal,Female,Fashion accessories,5,03/08/2019
746-54-5508,Yangon,Normal,Male,Home and lifestyle,6,1/17/2019
767-54-1907,Mandalay,Member,Female,Fashion accessories,5,2/13/2019
815-11-1168,Yangon,Member,Male,Food and beverages,5,03/09/2019
719-76-3868,Naypyitaw,Member,Male,Food and beverages,4,03/12/2019
731-59-7531,Mandalay,Member,Male,Health and beauty,8,3/30/2019
340-66-0321,Yangon,Member,Male,Electronic accessories,4,3/25/2019
776-68-1096,Mandalay,Normal,Male,Home and lifestyle,3,3/18/2019
634-97-8956,Yangon,Normal,Male,Food and beverages,3,2/17/2019
566-71-1091,Yangon,Normal,Male,Fashion accessories,5,02/03/2019
442-48-3607,Yangon,Member,Male,Food and beverages,2,3/14/2019
835-16-0096,Naypyitaw,Member,Male,Sports and travel,5,3/24/2019
527-09-6272,Yangon,Member,Female,Electronic accessories,5,3/21/2019
898-04-2717,Yangon,Normal,Male,Fashion accessories,9,3/19/2019
222-42-0244,Mandalay,Member,Female,Health and beauty,9,1/28/2019
633-09-3463,Naypyitaw,Normal,Female,Electronic accessories,3,3/28/2019
715-20-1673,Mandalay,Normal,Male,Electronic accessories,5,03/06/2019
873-95-4984,Mandalay,Member,Female,Health and beauty,7,2/15/2019
188-55-0967,Mandalay,Member,Male,Health and beauty,10,1/15/2019
785-96-0615,Mandalay,Member,Female,Electronic accessories,8,2/17/2019
416-13-5917,Naypyitaw,Normal,Female,Food and beverages,5,1/30/2019
150-89-8043,Yangon,Normal,Male,Sports and travel,3,2/14/2019
135-84-8019,Yangon,Normal,Female,Fashion accessories,9,2/27/2019
441-94-7118,Yangon,Member,Male,Electronic accessories,1,02/04/2019
725-96-3778,Naypyitaw,Member,Female,Home and lifestyle,8,1/20/2019
531-80-1784,Yangon,Normal,Male,Electronic accessories,7,3/28/2019
234-03-4040,Mandalay,Member,Female,Food and beverages,10,03/03/2019
860-79-0874,Naypyitaw,Member,Female,Fashion accessories,10,2/15/2019
834-61-8124,Yangon,Normal,Male,Electronic accessories,7,1/26/2019
707-32-7409,Mandalay,Member,Female,Sports and travel,4,2/26/2019
133-77-3154,Mandalay,Member,Male,Fashion accessories,4,2/16/2019
320-49-6392,Naypyitaw,Normal,Female,Electronic accessories,1,03/04/2019
114-35-5271,Mandalay,Normal,Female,Electronic accessories,8,02/07/2019
632-90-0281,Naypyitaw,Normal,Female,Fashion accessories,10,03/08/2019
554-42-2417,Naypyitaw,Normal,Female,Sports and travel,10,01/09/2019
533-66-5566,Mandalay,Normal,Female,Home and lifestyle,7,01/12/2019
650-98-6268,Mandalay,Member,Female,Food and beverages,3,3/20/2019
612-36-5536,Yangon,Member,Male,Food and beverages,8,2/17/2019
605-72-4132,Naypyitaw,Normal,Female,Food and beverages,8,2/27/2019
471-41-2823,Naypyitaw,Normal,Male,Food and beverages,2,03/07/2019
462-67-9126,Yangon,Normal,Male,Home and lifestyle,6,1/21/2019
272-27-9238,Naypyitaw,Normal,Female,Food and beverages,4,2/19/2019
834-25-9262,Naypyitaw,Normal,Female,Fashion accessories,4,01/06/2019
122-61-9553,Naypyitaw,Normal,Female,Electronic accessories,9,3/14/2019
468-88-0009,Yangon,Member,Male,Home and lifestyle,4,3/24/2019
613-59-9758,Naypyitaw,Normal,Female,Sports and travel,10,1/27/2019
254-31-0042,Yangon,Member,Male,Electronic accessories,9,03/06/2019
176-64-7711,Mandalay,Normal,Male,Food and beverages,3,3/27/2019
374-17-3652,Mandalay,Member,Female,Food and beverages,9,02/05/2019
730-70-9830,Naypyitaw,Normal,Female,Home and lifestyle,6,3/14/2019
382-25-8917,Naypyitaw,Normal,Male,Fashion accessories,6,1/29/2019
422-29-8786,Yangon,Normal,Female,Home and lifestyle,5,01/03/2019
667-23-5919,Yangon,Member,Female,Fashion accessories,5,1/14/2019
845-51-0542,Mandalay,Member,Male,Food and beverages,9,02/02/2019
743-88-1662,Naypyitaw,Normal,Male,Sports and travel,7,2/22/2019
595-86-2894,Naypyitaw,Member,Male,Fashion accessories,4,02/06/2019
827-44-5872,Mandalay,Member,Female,Food and beverages,10,02/07/2019
289-15-7034,Yangon,Member,Male,Sports and travel,4,01/11/2019
