Invoice_ID,City,Date,Payment,cogs,Profit,Unit_price,Total
503-21-4385,Mandalay,2/21/2019,Ewallet,54.45,95.1,39.91,125.7165
841-35-6630,Naypyitaw,03/09/2019,Cash,455.46,475,75.91,478.233
287-21-9091,Yangon,1/22/2019,Ewallet,672.03,117.9,74.67,705.6315
732-94-0499,Naypyitaw,1/13/2019,Credit card,416.5,193.57,41.65,437.325
263-10-3913,Naypyitaw,01/09/2019,Credit card,441.36,75,49.04,463.428
381-20-0914,Yangon,01/12/2019,Credit card,180.09,488.88,20.01,189.0945
829-49-1914,Naypyitaw,03/05/2019,Ewallet,783.1,64.71,78.31,822.255
756-01-7507,Naypyitaw,1/22/2019,Cash,101.9,621.81,20.38,106.995
870-72-4431,Naypyitaw,1/21/2019,Credit card,595.14,912.15,99.19,624.897
895-66-0685,Mandalay,03/05/2019,Ewallet,55.12,97.16,18.08,56.952
480-63-2856,Naypyitaw,1/23/2019,Ewallet,154,227.7,19.25,161.7
787-56-0757,Naypyitaw,2/23/2019,Credit card,321.44,682.66,80.36,337.512
360-39-5055,Naypyitaw,03/09/2019,Cash,244.55,344.52,48.91,256.7775
730-50-9884,Naypyitaw,03/05/2019,Ewallet,581.42,659.99,83.06,610.491
362-58-8315,Naypyitaw,3/25/2019,Cash,382.6,615.65,76.52,401.73
633-44-8566,Yangon,3/27/2019,Credit card,345.66,665.2,49.38,362.943
504-35-8843,Yangon,01/02/2019,Cash,42.47,189.99,42.47,44.5935
616-24-2851,Mandalay,3/22/2019,Ewallet,57.92,99.19,17.87,75.054
565-80-5980,Naypyitaw,1/23/2019,Cash,189.52,46.14,47.38,198.996
225-32-0908,Naypyitaw,1/26/2019,Ewallet,448.6,409.53,44.86,471.03
873-51-0671,Yangon,01/10/2019,Ewallet,153.86,383.04,21.98,161.553
299-46-1805,Mandalay,1/15/2019,Cash,60.3,100.8,93.72,590.436
512-91-0811,Naypyitaw,02/06/2019,Credit card,89.75,218.45,89.75,94.2375
594-34-4444,Yangon,03/08/2019,Ewallet,97.16,442.8,97.16,102.018
510-95-6347,Mandalay,03/05/2019,Ewallet,62.61,100.94,48.52,152.838
871-39-9221,Naypyitaw,02/09/2019,Cash,74.7,125.35,12.45,78.435
865-92-6136,Yangon,3/23/2019,Ewallet,158.25,391.17,52.75,166.1625
665-63-9737,Mandalay,2/27/2019,Ewallet,65.7,101.46,52.42,165.123
163-56-7055,Naypyitaw,3/26/2019,Cash,48.71,910.74,48.71,51.1455
189-98-2939,Naypyitaw,03/01/2019,Cash,706.95,671.88,78.55,742.2975
551-21-3069,Naypyitaw,02/01/2019,Cash,207.63,175.77,23.07,218.0115
212-62-1842,Yangon,3/28/2019,Cash,349.56,184.11,58.26,367.038
789-23-8625,Mandalay,1/24/2019,Cash,66.1,102.42,93.22,293.643
704-48-3927,Yangon,01/12/2019,Ewallet,886.7,78.75,88.67,931.035
628-34-3388,Naypyitaw,01/05/2019,Credit card,164.28,108,27.38,172.494
630-74-5166,Yangon,3/22/2019,Cash,372.78,176.88,62.13,391.419
588-01-7461,Naypyitaw,3/24/2019,Cash,305.82,155.68,33.98,321.111
861-77-0145,Naypyitaw,03/03/2019,Cash,819.7,271.17,81.97,860.685
296-11-7041,Mandalay,01/12/2019,Credit card,66.4,104.25,27.07,28.4235
210-67-5886,Naypyitaw,02/05/2019,Credit card,294.63,111,98.21,309.3615
692-27-8933,Mandalay,2/24/2019,Cash,66.66,106.11,57.95,365.085
645-44-1170,Yangon,1/19/2019,Ewallet,522.63,69.24,58.07,548.7615
237-01-6122,Naypyitaw,02/01/2019,Credit card,727.11,242,80.79,763.4655
225-98-1496,Naypyitaw,03/02/2019,Credit card,81.06,287.1,27.02,85.113
725-67-2480,Mandalay,3/24/2019,Credit card,67.77,106.89,58.75,370.125
197-77-7132,Mandalay,01/12/2019,Ewallet,69.4,108.48,91.56,769.104
642-32-2990,Yangon,02/02/2019,Ewallet,109.6,90.3,10.96,115.08
574-31-8277,Mandalay,3/20/2019,Cash,71.2,109.12,33.63,35.3115
638-60-7125,Yangon,2/14/2019,Credit card,796.48,174.02,99.56,836.304
659-36-1684,Naypyitaw,01/12/2019,Credit card,399.84,201.19,57.12,419.832
198-84-7132,Mandalay,01/02/2019,Cash,71.48,113.04,40.61,383.7645
336-78-2147,Naypyitaw,3/13/2019,Credit card,511.28,187.59,63.91,536.844
305-89-2768,Mandalay,01/09/2019,Ewallet,71.88,113.95,21.9,68.985
668-90-8900,Yangon,03/10/2019,Credit card,655.83,71.12,93.69,688.6215
870-54-3162,Yangon,1/27/2019,Cash,161.25,870.24,32.25,169.3125
189-08-9157,Naypyitaw,01/08/2019,Credit card,285.57,336.18,31.73,299.8485
663-86-9076,Naypyitaw,01/08/2019,Ewallet,548.32,597.78,68.54,575.736
596-42-3999,Mandalay,03/10/2019,Credit card,72.17,114.1,18.22,133.917
511-54-3087,Mandalay,2/25/2019,Credit card,72.32,114.6,88.45,92.8725
802-70-5316,Yangon,03/06/2019,Cash,552.78,105.6,92.13,580.419
201-86-2184,Mandalay,02/02/2019,Cash,73.96,116.96,26.26,193.011
156-20-0370,Mandalay,03/10/2019,Credit card,73.97,118.14,25.45,26.7225
483-71-1164,Naypyitaw,03/08/2019,Ewallet,487.8,664.44,81.3,512.19
597-78-7908,Naypyitaw,2/18/2019,Cash,270.66,514.8,90.22,284.193
700-81-1757,Yangon,1/18/2019,Credit card,131.55,674.28,26.31,138.1275
354-39-5160,Yangon,2/18/2019,Cash,206.52,329.46,34.42,216.846
361-59-0574,Mandalay,3/15/2019,Credit card,74.97,119.7,90.53,760.452
575-30-8091,Yangon,3/16/2019,Ewallet,580,424.32,72.5,609
731-81-9469,Naypyitaw,1/23/2019,Credit card,898,381.04,89.8,942.9
280-17-4359,Naypyitaw,1/25/2019,Cash,905,223.47,90.5,950.25
338-65-2210,Naypyitaw,02/05/2019,Cash,686,293.7,68.6,720.3
488-25-4221,Naypyitaw,2/22/2019,Credit card,30.41,252.45,30.41,31.9305
239-10-7476,Yangon,1/21/2019,Ewallet,467.7,624.78,77.95,491.085
458-41-1477,Naypyitaw,03/08/2019,Credit card,277.56,573.87,46.26,291.438
685-64-1609,Yangon,02/10/2019,Ewallet,301.4,187.68,30.14,316.47
568-90-5112,Naypyitaw,3/19/2019,Credit card,264.56,292.5,66.14,277.788
549-84-7482,Mandalay,02/08/2019,Ewallet,75.82,126.07,90.28,853.146
238-49-0436,Yangon,3/27/2019,Credit card,259.68,734.45,32.46,272.664
366-43-6862,Mandalay,3/25/2019,Ewallet,76.54,128.17,52.89,222.138
584-86-7256,Naypyitaw,03/11/2019,Credit card,241.92,335.28,34.56,254.016
746-94-0204,Yangon,1/29/2019,Credit card,749.16,76.68,83.24,786.618
214-17-6927,Naypyitaw,02/07/2019,Ewallet,98.88,234.27,16.48,103.824
400-89-4171,Naypyitaw,1/28/2019,Cash,647.76,626.08,80.97,680.148
782-95-9291,Yangon,2/20/2019,Credit card,461.45,809.56,92.29,484.5225
628-90-8624,Mandalay,3/14/2019,Cash,78.78,128.28,82.58,867.09
418-05-0656,Mandalay,02/02/2019,Cash,80.6,129.54,25.56,187.866
642-61-4706,Mandalay,3/30/2019,Cash,80.72,134.08,93.4,196.14
852-62-7105,Mandalay,01/12/2019,Credit card,81.24,134.64,83.25,874.125
894-41-5205,Naypyitaw,1/19/2019,Credit card,345.44,192.51,43.18,362.712
275-28-0149,Yangon,2/25/2019,Cash,63.69,280.06,63.69,66.8745
101-17-6199,Yangon,3/13/2019,Credit card,320.53,341.36,45.79,336.5565
423-80-0988,Naypyitaw,1/30/2019,Ewallet,152.8,121.28,76.4,160.44
544-55-9589,Mandalay,1/28/2019,Cash,82.14,135.36,21.43,225.015
640-48-5028,Mandalay,03/02/2019,Cash,82.5,136.62,88.39,835.2855
234-65-2137,Naypyitaw,1/16/2019,Cash,955.8,343.57,95.58,1003.59
687-47-8271,Yangon,02/08/2019,Credit card,989.8,491.4,98.98,1039.29
796-32-9050,Yangon,1/19/2019,Cash,307.68,176.25,51.28,323.064
105-31-1824,Yangon,02/01/2019,Credit card,486.64,60.75,69.52,510.972
249-42-3782,Yangon,01/03/2019,Ewallet,350.05,237.36,70.01,367.5525
388-76-2555,Mandalay,2/13/2019,Cash,86,136.7,13.69,86.247
733-33-4967,Naypyitaw,03/03/2019,Cash,166.8,150.29,20.85,175.14
732-04-5373,Mandalay,02/08/2019,Cash,86.72,138.21,46.47,195.174
746-04-1077,Mandalay,01/01/2019,Credit card,87.45,139.8,84.63,888.615
827-26-2100,Yangon,3/21/2019,Ewallet,304.56,848.39,33.84,319.788
175-54-2529,Yangon,03/03/2019,Credit card,177.36,546.75,22.17,186.228
139-52-2867,Naypyitaw,2/13/2019,Credit card,157.57,223.52,22.51,165.4485
407-63-8975,Yangon,3/23/2019,Ewallet,443.28,55.12,73.88,465.444
342-65-4817,Naypyitaw,1/28/2019,Ewallet,260.4,343.72,86.8,273.42
130-98-8941,Naypyitaw,02/09/2019,Cash,449.82,433.35,64.26,472.311
434-83-9547,Naypyitaw,1/23/2019,Cash,307.76,171.8,38.47,323.148
851-28-6367,Yangon,3/23/2019,Ewallet,155,783.72,15.5,162.75
824-88-3614,Naypyitaw,1/25/2019,Ewallet,274.48,236.98,34.31,288.204
586-25-0848,Yangon,03/04/2019,Credit card,86.38,195.5,12.34,90.699
695-51-0018,Mandalay,02/10/2019,Cash,88.15,140.8,34.84,146.328
767-97-4650,Mandalay,01/08/2019,Credit card,88.31,144,64.83,136.143
565-91-4567,Mandalay,3/15/2019,Ewallet,88.45,147.1,10.75,90.3
400-60-7251,Yangon,02/10/2019,Ewallet,74.07,564.2,74.07,77.7735
593-65-1552,Naypyitaw,1/28/2019,Credit card,279.24,472.89,69.81,293.202
563-47-4072,Mandalay,1/22/2019,Cash,88.85,147.14,55.81,351.603
670-71-7306,Mandalay,01/02/2019,Credit card,89.28,147.22,44.63,281.169
286-43-6208,Naypyitaw,3/16/2019,Cash,790.2,414.12,87.8,829.71
234-36-2483,Mandalay,2/15/2019,Cash,91.11,148.33,57.59,362.817
831-07-6050,Yangon,3/19/2019,Credit card,163.55,340.75,32.71,171.7275
556-86-3144,Naypyitaw,1/13/2019,Cash,74.29,191.14,74.29,78.0045
848-24-9445,Naypyitaw,3/26/2019,Cash,87.4,380.43,43.7,91.77
856-22-8149,Yangon,3/23/2019,Ewallet,25.29,338.18,25.29,26.5545
699-01-4164,Naypyitaw,03/12/2019,Credit card,166,527.28,41.5,174.3
420-11-4919,Naypyitaw,2/17/2019,Credit card,356.95,170.5,71.39,374.7975
606-80-4905,Naypyitaw,1/29/2019,Credit card,114.9,243.32,19.15,120.645
273-16-6619,Mandalay,3/15/2019,Credit card,91.35,148.47,33.2,69.72
426-39-2418,Naypyitaw,1/14/2019,Cash,429.87,404.1,61.41,451.3635
423-57-2993,Mandalay,3/27/2019,Ewallet,92.78,148.7,93.39,588.357
655-85-5130,Mandalay,3/13/2019,Cash,93.36,150.88,38.3,160.86
749-24-1565,Yangon,01/03/2019,Ewallet,207.27,139.86,23.03,217.6335
672-51-8681,Naypyitaw,01/04/2019,Credit card,599.85,646.36,66.65,629.8425
263-87-5680,Naypyitaw,3/18/2019,Ewallet,285.3,360.81,28.53,299.565
744-09-5786,Mandalay,01/02/2019,Cash,93.38,152.4,22.01,138.663
821-14-9046,Mandalay,1/18/2019,Credit card,94.6,152.52,17.48,110.124
888-02-0338,Yangon,1/25/2019,Ewallet,236.07,207.06,26.23,247.8735
677-11-0152,Naypyitaw,1/16/2019,Cash,839.34,423.54,93.26,881.307
875-31-8302,Mandalay,01/03/2019,Cash,94.8,152.76,93.38,98.049
573-58-9734,Mandalay,3/28/2019,Ewallet,96.11,153.58,30.37,95.6655
605-83-1050,Mandalay,3/15/2019,Ewallet,96.8,155.04,27.18,57.078
802-43-8934,Yangon,3/22/2019,Credit card,18.28,177.06,18.28,19.194
339-38-9982,Mandalay,1/13/2019,Ewallet,96.96,155.43,59.86,125.706
319-74-2561,Yangon,2/21/2019,Cash,283.92,97.45,94.64,298.116
291-32-1427,Mandalay,03/05/2019,Ewallet,98.13,157.59,21.94,115.185
319-50-3348,Mandalay,03/11/2019,Ewallet,98.2,159.16,40.3,84.63
783-09-1637,Mandalay,03/06/2019,Ewallet,98.22,160.44,67.43,354.0075
291-59-1384,Mandalay,2/28/2019,Cash,99.84,162.72,60.3,63.315
389-25-3394,Naypyitaw,2/17/2019,Cash,59.05,274.17,11.81,62.0025
279-62-1445,Naypyitaw,2/21/2019,Cash,12.54,910.8,12.54,13.167
213-72-6612,Yangon,3/20/2019,Cash,86.5,563.68,43.25,90.825
746-68-6593,Naypyitaw,01/11/2019,Credit card,174.32,173.88,87.16,183.036
356-44-8813,Mandalay,1/20/2019,Credit card,101.52,163.59,37.48,118.062
583-72-1480,Naypyitaw,1/31/2019,Ewallet,148.24,240.8,37.06,155.652
871-79-8483,Mandalay,2/25/2019,Credit card,102.04,166.05,94.13,494.1825
721-86-6247,Yangon,03/11/2019,Ewallet,507.36,149.04,63.42,532.728
349-97-8902,Mandalay,1/17/2019,Ewallet,102.2,168.2,57.89,121.569
498-41-1961,Mandalay,2/20/2019,Cash,104.88,168.3,66.68,350.07
554-53-3790,Mandalay,3/22/2019,Cash,106.88,168.84,37.02,233.226
470-31-3286,Mandalay,03/01/2019,Credit card,109.7,177,14.82,46.683
157-13-5295,Yangon,03/09/2019,Ewallet,519.4,552.15,51.94,545.37
645-78-8093,Yangon,1/20/2019,Ewallet,186.28,773.37,93.14,195.594
211-30-9270,Naypyitaw,1/28/2019,Credit card,87.05,247,17.41,91.4025
755-12-3214,Naypyitaw,03/05/2019,Credit card,221.1,216.3,44.22,232.155
793-10-3222,Mandalay,03/05/2019,Credit card,110.61,177.14,41.06,258.678
478-06-7835,Yangon,01/11/2019,Ewallet,89.69,124.6,89.69,94.1745
540-11-4336,Yangon,01/11/2019,Credit card,224.46,423.28,24.94,235.683
448-81-5016,Yangon,03/11/2019,Credit card,119.54,214.8,59.77,125.517
142-72-4741,Naypyitaw,2/28/2019,Credit card,186.4,78.45,93.2,195.72
217-58-1179,Yangon,01/05/2019,Cash,250.6,646.8,62.65,263.13
286-62-6248,Mandalay,1/16/2019,Credit card,111.34,178.88,39.21,164.682
530-90-9855,Yangon,01/01/2019,Cash,380.72,369.3,47.59,399.756
825-94-5922,Mandalay,03/02/2019,Ewallet,112.44,179.7,25.31,53.151
604-70-6476,Yangon,1/23/2019,Ewallet,89.7,59.18,17.94,94.185
799-71-1548,Yangon,01/07/2019,Credit card,310.88,482.36,77.72,326.424
725-32-9708,Mandalay,01/04/2019,Cash,113.58,182.02,68.71,288.582
200-40-6154,Mandalay,02/09/2019,Cash,114.44,182.97,65.91,415.233
662-47-5456,Naypyitaw,3/17/2019,Credit card,351.9,127.44,35.19,369.495
883-17-4236,Naypyitaw,03/02/2019,Credit card,28.78,636.84,14.39,30.219
290-68-2984,Yangon,3/16/2019,Cash,95,62.85,23.75,99.75
704-11-6354,Yangon,01/06/2019,Cash,471.2,170.91,58.9,494.76
347-34-2234,Mandalay,02/03/2019,Ewallet,115.78,184.2,55.07,520.4115
366-93-0948,Yangon,1/31/2019,Credit card,66.35,990.97,66.35,69.6675
729-09-9681,Yangon,02/05/2019,Ewallet,155.46,476.19,25.91,163.233
151-16-1484,Yangon,2/13/2019,Ewallet,129,290.4,32.25,135.45
380-94-4661,Naypyitaw,02/07/2019,Credit card,263.76,359.38,65.94,276.948
850-41-9669,Yangon,3/19/2019,Ewallet,675.54,63.9,75.06,709.317
821-07-3596,Naypyitaw,03/07/2019,Ewallet,65.8,216.75,16.45,69.09
262-47-2794,Mandalay,03/06/2019,Credit card,119.68,184.32,71.86,603.624
447-15-7839,Yangon,02/09/2019,Cash,222.4,275.4,22.24,233.52
394-43-4238,Mandalay,2/15/2019,Credit card,119.72,185.94,17.77,93.2925
253-12-6086,Yangon,03/12/2019,Credit card,688.8,256.74,98.4,723.24
808-65-0703,Naypyitaw,3/14/2019,Credit card,141.88,139.2,35.47,148.974
659-65-8956,Mandalay,1/16/2019,Ewallet,119.73,186.77,51.36,53.928
144-51-6085,Yangon,01/05/2019,Credit card,282.96,180.84,70.74,297.108
731-14-2199,Yangon,01/04/2019,Ewallet,355.4,612.56,35.54,373.17
305-18-3552,Mandalay,02/12/2019,Cash,121.92,188.28,60.38,633.99
687-15-1097,Naypyitaw,01/03/2019,Cash,42.24,282.88,21.12,44.352
126-54-1082,Yangon,01/07/2019,Credit card,193.86,781.76,21.54,203.553
633-91-1052,Yangon,1/27/2019,Cash,24.06,137.64,12.03,25.263
219-22-9386,Mandalay,03/09/2019,Credit card,122.31,188.32,99.96,944.622
181-82-6255,Mandalay,02/08/2019,Cash,123.85,189.72,16.37,103.131
526-86-8552,Naypyitaw,01/07/2019,Cash,218.2,284.2,21.82,229.11
376-56-3573,Naypyitaw,02/02/2019,Ewallet,381.68,137.92,95.42,400.764
537-72-0426,Naypyitaw,3/20/2019,Cash,709.9,286.47,70.99,745.395
828-61-5674,Yangon,3/20/2019,Credit card,440.2,520.3,44.02,462.21
136-08-6195,Yangon,2/15/2019,Credit card,559.68,454.72,69.96,587.664
523-38-0215,Naypyitaw,03/06/2019,Credit card,37,203.55,37,38.85
490-29-1201,Yangon,01/06/2019,Cash,15.34,433.01,15.34,16.107
667-92-0055,Yangon,03/04/2019,Ewallet,598.98,138.96,99.83,628.929
565-17-3836,Yangon,03/12/2019,Cash,190.68,599.43,47.67,200.214
532-59-7201,Mandalay,1/31/2019,Cash,127,189.84,79.93,503.559
593-95-4461,Naypyitaw,3/24/2019,Cash,74.86,738,74.86,78.603
226-71-3580,Naypyitaw,1/31/2019,Cash,213.75,429.44,23.75,224.4375
699-88-1972,Mandalay,1/28/2019,Credit card,127.54,195.75,99.16,832.944
430-60-3493,Yangon,02/03/2019,Cash,664.16,244.65,94.88,697.368
729-06-2010,Mandalay,01/06/2019,Cash,128.91,197.04,80.47,760.4415
558-80-4082,Naypyitaw,3/14/2019,Ewallet,194.95,418.32,27.85,204.6975
278-97-7759,Yangon,2/18/2019,Cash,62.48,237.32,62.48,65.604
316-68-6352,Yangon,1/21/2019,Cash,72.72,263.19,36.36,76.356
794-42-3736,Mandalay,1/26/2019,Credit card,129.66,197.12,33.33,69.993
211-05-0490,Naypyitaw,03/03/2019,Cash,259.6,184.8,51.92,272.58
727-75-6477,Naypyitaw,3/29/2019,Cash,115.36,527.8,28.84,121.128
744-02-5987,Yangon,01/10/2019,Ewallet,470.28,630.08,78.38,493.794
307-83-9164,Yangon,1/25/2019,Cash,240.04,994.84,60.01,252.042
779-06-0012,Naypyitaw,1/19/2019,Cash,88.61,304.81,88.61,93.0405
446-47-6729,Naypyitaw,01/02/2019,Credit card,199.64,96.6,99.82,209.622
853-23-2453,Mandalay,2/14/2019,Cash,130.48,200.31,75.74,318.108
735-06-4124,Naypyitaw,2/25/2019,Cash,48.61,683.76,48.61,51.0405
439-54-7422,Yangon,3/18/2019,Credit card,204.76,292.6,51.19,214.998
539-21-7227,Mandalay,1/26/2019,Cash,132.06,204.29,51.54,270.585
411-77-0180,Yangon,3/26/2019,Ewallet,505.4,404.95,72.2,530.67
286-01-5402,Yangon,3/30/2019,Cash,281.61,383.36,40.23,295.6905
803-17-8013,Yangon,2/17/2019,Cash,710.32,586.95,88.79,745.836
512-98-1403,Yangon,3/21/2019,Ewallet,79.44,200.6,26.48,83.412
848-42-2560,Yangon,03/05/2019,Cash,163.82,196.14,81.91,172.011
339-96-8318,Mandalay,03/01/2019,Ewallet,132.36,205.8,81.31,597.6285
181-94-6432,Naypyitaw,02/05/2019,Ewallet,138.66,797.61,69.33,145.593
870-76-1733,Yangon,02/01/2019,Credit card,71.15,641.19,14.23,74.7075
423-64-4619,Yangon,03/07/2019,Cash,139.95,406.64,15.55,146.9475
227-07-4446,Naypyitaw,02/10/2019,Cash,781.3,660.6,78.13,820.365
174-36-3675,Naypyitaw,2/14/2019,Cash,198.74,775.54,99.37,208.677
428-83-5800,Naypyitaw,02/09/2019,Cash,63.24,174.13,21.08,66.402
603-07-0961,Naypyitaw,01/10/2019,Cash,373.95,89.84,74.79,392.6475
704-20-4138,Naypyitaw,03/11/2019,Credit card,207.69,410.02,29.67,218.0745
787-15-1757,Naypyitaw,2/18/2019,Ewallet,176.28,328.64,44.07,185.094
649-11-3678,Naypyitaw,2/26/2019,Cash,206.37,602.14,22.93,216.6885
622-20-1945,Naypyitaw,1/18/2019,Cash,39.42,363.01,39.42,41.391
372-94-8041,Yangon,2/15/2019,Ewallet,91.56,141.12,15.26,96.138
563-91-7120,Yangon,03/08/2019,Cash,308.85,228.96,61.77,324.2925
746-54-5508,Yangon,1/17/2019,Credit card,129.12,914.32,21.52,135.576
767-54-1907,Mandalay,2/13/2019,Cash,135,206.7,29.56,155.19
815-11-1168,Yangon,03/09/2019,Cash,498.9,226.8,99.78,523.845
719-76-3868,Naypyitaw,03/12/2019,Cash,377.04,82.6,94.26,395.892
731-59-7531,Mandalay,3/30/2019,Cash,137.13,208.2,72.57,609.588
340-66-0321,Yangon,3/25/2019,Cash,145.44,245.44,36.36,152.712
776-68-1096,Mandalay,3/18/2019,Credit card,138.06,209.78,44.12,138.978
634-97-8956,Yangon,2/17/2019,Credit card,98.7,747.77,32.9,103.635
566-71-1091,Yangon,02/03/2019,Cash,385.1,164.25,77.02,404.355
442-48-3607,Yangon,3/14/2019,Credit card,46.96,608.7,23.48,49.308
835-16-0096,Naypyitaw,3/24/2019,Ewallet,73.5,442.08,14.7,77.175
527-09-6272,Yangon,3/21/2019,Credit card,142.25,210.14,28.45,149.3625
898-04-2717,Yangon,3/19/2019,Ewallet,687.6,415.72,76.4,721.98
